datum,kraj,pomucka,pocet,zmena
2020-03-31,CZ052,Plicní ventilátory,0,0
2020-03-31,CZ052,Polomasky,0,0
2020-03-31,CZ052,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ052,Respirátory,0,0
2020-03-31,CZ052,Roušky,0,0
2020-03-31,CZ052,Rukavice,0,0
2020-03-31,CZ052,Rychlotesty,0,0
2020-03-31,CZ052,Tampóny,0,0
2020-03-31,CZ052,Teploměry,0,0
2020-03-31,CZ052,Termokamery,0,0
2020-03-31,CZ052,Štíty,0,0
2020-03-31,CZ053,Brýle,0,0
2020-03-31,CZ053,Dezinfekce (l),0,0
2020-03-31,CZ053,Filtry k polomaskám,0,0
2020-03-31,CZ053,Návleky na obuv,0,0
2020-03-31,CZ053,Ochranné oděvy,0,0
2020-03-31,CZ053,Odběrové sady,0,0
2020-03-31,CZ053,Ostatní,0,0
2020-03-31,CZ053,Plicní ventilátory,0,0
2020-03-31,CZ053,Polomasky,0,0
2020-03-31,CZ053,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ053,Respirátory,0,0
2020-03-31,CZ053,Roušky,0,0
2020-03-31,CZ053,Rukavice,0,0
2020-03-31,CZ053,Rychlotesty,0,0
2020-03-31,CZ053,Tampóny,0,0
2020-03-31,CZ053,Teploměry,0,0
2020-03-31,CZ053,Termokamery,0,0
2020-03-31,CZ053,Štíty,0,0
2020-03-31,CZ063,Brýle,0,0
2020-03-31,CZ063,Dezinfekce (l),0,0
2020-03-31,CZ063,Filtry k polomaskám,0,0
2020-03-31,CZ063,Návleky na obuv,0,0
2020-03-31,CZ063,Ochranné oděvy,0,0
2020-03-31,CZ063,Odběrové sady,0,0
2020-03-31,CZ063,Ostatní,0,0
2020-03-31,CZ063,Plicní ventilátory,0,0
2020-03-31,CZ063,Polomasky,0,0
2020-03-31,CZ063,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ063,Respirátory,0,0
2020-03-31,CZ063,Roušky,0,0
2020-03-31,CZ063,Rukavice,0,0
2020-03-31,CZ063,Rychlotesty,0,0
2020-03-31,CZ063,Tampóny,0,0
2020-03-31,CZ063,Teploměry,0,0
2020-03-31,CZ063,Termokamery,0,0
2020-03-31,CZ063,Štíty,0,0
2020-03-31,CZ064,Brýle,0,0
2020-03-31,CZ064,Dezinfekce (l),0,0
2020-03-31,CZ064,Filtry k polomaskám,0,0
2020-03-31,CZ064,Návleky na obuv,0,0
2020-03-31,CZ064,Ochranné oděvy,0,0
2020-03-31,CZ064,Odběrové sady,0,0
2020-03-31,CZ064,Ostatní,0,0
2020-03-31,CZ064,Plicní ventilátory,0,0
2020-03-31,CZ064,Polomasky,0,0
2020-03-31,CZ064,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ064,Respirátory,0,0
2020-03-31,CZ064,Roušky,0,0
2020-03-31,CZ064,Rukavice,0,0
2020-03-31,CZ064,Rychlotesty,0,0
2020-03-31,CZ064,Tampóny,0,0
2020-03-31,CZ064,Teploměry,0,0
2020-03-31,CZ064,Termokamery,0,0
2020-03-31,CZ064,Štíty,0,0
2020-03-31,CZ071,Brýle,0,0
2020-03-31,CZ071,Dezinfekce (l),0,0
2020-03-31,CZ071,Filtry k polomaskám,0,0
2020-03-31,CZ071,Návleky na obuv,0,0
2020-03-31,CZ071,Ochranné oděvy,0,0
2020-03-31,CZ071,Odběrové sady,0,0
2020-03-31,CZ071,Ostatní,0,0
2020-03-31,CZ071,Plicní ventilátory,0,0
2020-03-31,CZ071,Polomasky,0,0
2020-03-31,CZ071,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ071,Respirátory,0,0
2020-03-31,CZ071,Roušky,0,0
2020-03-31,CZ071,Rukavice,0,0
2020-03-31,CZ071,Rychlotesty,0,0
2020-03-31,CZ071,Tampóny,0,0
2020-03-31,CZ071,Teploměry,0,0
2020-03-31,CZ071,Termokamery,0,0
2020-03-31,CZ071,Štíty,0,0
2020-03-31,CZ072,Brýle,0,0
2020-03-31,CZ072,Dezinfekce (l),0,0
2020-03-31,CZ072,Filtry k polomaskám,0,0
2020-03-31,CZ072,Návleky na obuv,0,0
2020-03-31,CZ072,Ochranné oděvy,0,0
2020-03-31,CZ072,Odběrové sady,0,0
2020-03-31,CZ072,Ostatní,0,0
2020-03-31,CZ072,Plicní ventilátory,0,0
2020-03-31,CZ072,Polomasky,0,0
2020-03-31,CZ072,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ072,Respirátory,0,0
2020-03-31,CZ072,Roušky,0,0
2020-03-31,CZ072,Rukavice,0,0
2020-03-31,CZ072,Rychlotesty,0,0
2020-03-31,CZ072,Tampóny,0,0
2020-03-31,CZ072,Teploměry,0,0
2020-03-31,CZ072,Termokamery,0,0
2020-03-31,CZ072,Štíty,0,0
2020-03-31,CZ080,Brýle,0,0
2020-03-31,CZ080,Dezinfekce (l),0,0
2020-03-31,CZ080,Filtry k polomaskám,0,0
2020-03-31,CZ080,Návleky na obuv,0,0
2020-03-31,CZ080,Ochranné oděvy,0,0
2020-03-31,CZ080,Odběrové sady,0,0
2020-03-31,CZ080,Ostatní,0,0
2020-03-31,CZ080,Plicní ventilátory,0,0
2020-03-31,CZ080,Polomasky,0,0
2020-03-31,CZ080,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ080,Respirátory,0,0
2020-03-31,CZ080,Roušky,0,0
2020-03-31,CZ080,Rukavice,0,0
2020-03-31,CZ080,Rychlotesty,0,0
2020-03-31,CZ080,Tampóny,0,0
2020-03-31,CZ080,Teploměry,0,0
2020-03-31,CZ080,Termokamery,0,0
2020-03-31,CZ080,Štíty,0,0
2020-03-31,Hlavní město Praha,Brýle,4131,4131
2020-03-31,Hlavní město Praha,Dezinfekce (l),8085,8085
2020-03-31,Hlavní město Praha,Filtry k polomaskám,0,0
2020-03-31,Hlavní město Praha,Návleky na obuv,2530,2530
2020-03-31,Hlavní město Praha,Ochranné oděvy,36227,36227
2020-03-31,Hlavní město Praha,Odběrové sady,13150,13150
2020-03-31,Hlavní město Praha,Ostatní,0,0
2020-03-31,Hlavní město Praha,Plicní ventilátory,0,0
2020-03-31,Hlavní město Praha,Polomasky,0,0
2020-03-31,Hlavní město Praha,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Hlavní město Praha,Respirátory,755785,755785
2020-03-31,Hlavní město Praha,Roušky,2043263,2043263
2020-03-31,Hlavní město Praha,Rukavice,218200,218200
2020-03-31,Hlavní město Praha,Rychlotesty,19000,19000
2020-03-31,Hlavní město Praha,Tampóny,3800,3800
2020-03-31,Hlavní město Praha,Teploměry,0,0
2020-03-31,Hlavní město Praha,Termokamery,0,0
2020-03-31,Hlavní město Praha,Štíty,2292,2292
2020-03-31,Jihomoravský kraj,Brýle,1840,1840
2020-03-31,Jihomoravský kraj,Dezinfekce (l),7240,7240
2020-03-31,Jihomoravský kraj,Filtry k polomaskám,0,0
2020-03-31,Jihomoravský kraj,Návleky na obuv,337,337
2020-03-31,Jihomoravský kraj,Ochranné oděvy,9351,9351
2020-03-31,Jihomoravský kraj,Odběrové sady,3700,3700
2020-03-31,Jihomoravský kraj,Ostatní,0,0
2020-03-31,Jihomoravský kraj,Plicní ventilátory,0,0
2020-03-31,Jihomoravský kraj,Polomasky,0,0
2020-03-31,Jihomoravský kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Jihomoravský kraj,Respirátory,82275,82275
2020-03-31,Jihomoravský kraj,Roušky,457367,457367
2020-03-31,Jihomoravský kraj,Rukavice,19150,19150
2020-03-31,Jihomoravský kraj,Rychlotesty,3000,3000
2020-03-31,Jihomoravský kraj,Tampóny,300,300
2020-03-31,Jihomoravský kraj,Teploměry,0,0
2020-03-31,Jihomoravský kraj,Termokamery,0,0
2020-03-31,Jihomoravský kraj,Štíty,1774,1774
2020-03-31,Jihočeský kraj,Brýle,916,916
2020-03-31,Jihočeský kraj,Dezinfekce (l),1155,1155
2020-03-31,Jihočeský kraj,Filtry k polomaskám,0,0
2020-03-31,Jihočeský kraj,Návleky na obuv,270,270
2020-03-31,Jihočeský kraj,Ochranné oděvy,3252,3252
2020-03-31,Jihočeský kraj,Odběrové sady,1000,1000
2020-03-31,Jihočeský kraj,Ostatní,0,0
2020-03-31,Jihočeský kraj,Plicní ventilátory,0,0
2020-03-31,Jihočeský kraj,Polomasky,0,0
2020-03-31,Jihočeský kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Jihočeský kraj,Respirátory,31690,31690
2020-03-31,Jihočeský kraj,Roušky,115492,115492
2020-03-31,Jihočeský kraj,Rukavice,11850,11850
2020-03-31,Jihočeský kraj,Rychlotesty,3000,3000
2020-03-31,Jihočeský kraj,Tampóny,300,300
2020-03-31,Jihočeský kraj,Teploměry,0,0
2020-03-31,Jihočeský kraj,Termokamery,0,0
2020-03-31,Jihočeský kraj,Štíty,486,486
2020-03-31,Karlovarský kraj,Brýle,60,60
2020-03-31,Karlovarský kraj,Dezinfekce (l),1155,1155
2020-03-31,Karlovarský kraj,Filtry k polomaskám,0,0
2020-03-31,Karlovarský kraj,Návleky na obuv,1000,1000
2020-03-31,Karlovarský kraj,Ochranné oděvy,1364,1364
2020-03-31,Karlovarský kraj,Odběrové sady,0,0
2020-03-31,Karlovarský kraj,Ostatní,0,0
2020-03-31,Karlovarský kraj,Plicní ventilátory,0,0
2020-03-31,Karlovarský kraj,Polomasky,0,0
2020-03-31,Karlovarský kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Karlovarský kraj,Respirátory,13811,13811
2020-03-31,Karlovarský kraj,Roušky,39249,39249
2020-03-31,Karlovarský kraj,Rukavice,11600,11600
2020-03-31,Karlovarský kraj,Rychlotesty,3000,3000
2020-03-31,Karlovarský kraj,Tampóny,2300,2300
2020-03-31,Karlovarský kraj,Teploměry,0,0
2020-03-31,Karlovarský kraj,Termokamery,0,0
2020-03-31,Karlovarský kraj,Štíty,60,60
2020-03-31,Kraj Vysočina,Brýle,350,350
2020-03-31,Kraj Vysočina,Dezinfekce (l),970,970
2020-03-31,Kraj Vysočina,Filtry k polomaskám,0,0
2020-03-31,Kraj Vysočina,Návleky na obuv,9100,9100
2020-03-31,Kraj Vysočina,Ochranné oděvy,1734,1734
2020-03-31,Kraj Vysočina,Odběrové sady,1000,1000
2020-03-31,Kraj Vysočina,Ostatní,0,0
2020-03-31,Kraj Vysočina,Plicní ventilátory,0,0
2020-03-31,Kraj Vysočina,Polomasky,0,0
2020-03-31,Kraj Vysočina,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Kraj Vysočina,Respirátory,21045,21045
2020-03-31,Kraj Vysočina,Roušky,80256,80256
2020-03-31,Kraj Vysočina,Rukavice,20000,20000
2020-03-31,Kraj Vysočina,Rychlotesty,3000,3000
2020-03-31,Kraj Vysočina,Tampóny,600,600
2020-03-31,Kraj Vysočina,Teploměry,0,0
2020-03-31,Kraj Vysočina,Termokamery,0,0
2020-03-31,Kraj Vysočina,Štíty,90,90
2020-03-31,Královéhradecký kraj,Brýle,990,990
2020-03-31,Královéhradecký kraj,Dezinfekce (l),870,870
2020-03-31,Královéhradecký kraj,Filtry k polomaskám,0,0
2020-03-31,Královéhradecký kraj,Návleky na obuv,0,0
2020-03-31,Královéhradecký kraj,Ochranné oděvy,899,899
2020-03-31,Královéhradecký kraj,Odběrové sady,2000,2000
2020-03-31,Královéhradecký kraj,Ostatní,0,0
2020-03-31,Královéhradecký kraj,Plicní ventilátory,0,0
2020-03-31,Královéhradecký kraj,Polomasky,0,0
2020-03-31,Královéhradecký kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Královéhradecký kraj,Respirátory,32320,32320
2020-03-31,Královéhradecký kraj,Roušky,227717,227717
2020-03-31,Královéhradecký kraj,Rukavice,7500,7500
2020-03-31,Královéhradecký kraj,Rychlotesty,3000,3000
2020-03-31,Královéhradecký kraj,Tampóny,300,300
2020-03-31,Královéhradecký kraj,Teploměry,0,0
2020-03-31,Královéhradecký kraj,Termokamery,0,0
2020-03-31,Královéhradecký kraj,Štíty,335,335
2020-03-31,Liberecký kraj,Brýle,290,290
2020-03-31,Liberecký kraj,Dezinfekce (l),980,980
2020-03-31,Liberecký kraj,Filtry k polomaskám,0,0
2020-03-31,Liberecký kraj,Návleky na obuv,350,350
2020-03-31,Liberecký kraj,Ochranné oděvy,1118,1118
2020-03-31,Liberecký kraj,Odběrové sady,1300,1300
2020-03-31,Liberecký kraj,Ostatní,0,0
2020-03-31,Liberecký kraj,Plicní ventilátory,0,0
2020-03-31,Liberecký kraj,Polomasky,0,0
2020-03-31,Liberecký kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Liberecký kraj,Respirátory,30200,30200
2020-03-31,Liberecký kraj,Roušky,108990,108990
2020-03-31,Liberecký kraj,Rukavice,11050,11050
2020-03-31,Liberecký kraj,Rychlotesty,3000,3000
2020-03-31,Liberecký kraj,Tampóny,300,300
2020-03-31,Liberecký kraj,Teploměry,0,0
2020-03-31,Liberecký kraj,Termokamery,0,0
2020-03-31,Liberecký kraj,Štíty,75,75
2020-03-31,Moravskoslezský kraj,Brýle,1992,1992
2020-03-31,Moravskoslezský kraj,Dezinfekce (l),2615,2615
2020-03-31,Moravskoslezský kraj,Filtry k polomaskám,0,0
2020-03-31,Moravskoslezský kraj,Návleky na obuv,1232,1232
2020-03-31,Moravskoslezský kraj,Ochranné oděvy,8974,8974
2020-03-31,Moravskoslezský kraj,Odběrové sady,1800,1800
2020-03-31,Moravskoslezský kraj,Ostatní,0,0
2020-03-31,Moravskoslezský kraj,Plicní ventilátory,0,0
2020-03-31,Moravskoslezský kraj,Polomasky,0,0
2020-03-31,Moravskoslezský kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Moravskoslezský kraj,Respirátory,37095,37095
2020-03-31,Moravskoslezský kraj,Roušky,230709,230709
2020-03-31,Moravskoslezský kraj,Rukavice,54600,54600
2020-03-31,Moravskoslezský kraj,Rychlotesty,6000,6000
2020-03-31,Moravskoslezský kraj,Tampóny,2300,2300
2020-03-31,Moravskoslezský kraj,Teploměry,0,0
2020-03-31,Moravskoslezský kraj,Termokamery,0,0
2020-03-31,Moravskoslezský kraj,Štíty,89,89
2020-03-31,Olomoucký kraj,Brýle,1635,1635
2020-03-31,Olomoucký kraj,Dezinfekce (l),2555,2555
2020-03-31,Olomoucký kraj,Filtry k polomaskám,0,0
2020-03-31,Olomoucký kraj,Návleky na obuv,550,550
2020-03-31,Olomoucký kraj,Ochranné oděvy,5088,5088
2020-03-31,Olomoucký kraj,Odběrové sady,2000,2000
2020-03-31,Olomoucký kraj,Ostatní,0,0
2020-03-31,Olomoucký kraj,Plicní ventilátory,0,0
2020-03-31,Olomoucký kraj,Polomasky,0,0
2020-03-31,Olomoucký kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Olomoucký kraj,Respirátory,46430,46430
2020-03-31,Olomoucký kraj,Roušky,234623,234623
2020-03-31,Olomoucký kraj,Rukavice,34800,34800
2020-03-31,Olomoucký kraj,Rychlotesty,29000,29000
2020-03-31,Olomoucký kraj,Tampóny,600,600
2020-03-31,Olomoucký kraj,Teploměry,0,0
2020-03-31,Olomoucký kraj,Termokamery,0,0
2020-03-31,Olomoucký kraj,Štíty,985,985
2020-03-31,Pardubický kraj,Brýle,900,900
2020-03-31,Pardubický kraj,Dezinfekce (l),615,615
2020-03-31,Pardubický kraj,Filtry k polomaskám,0,0
2020-03-31,Pardubický kraj,Návleky na obuv,150,150
2020-03-31,Pardubický kraj,Ochranné oděvy,4586,4586
2020-03-31,Pardubický kraj,Odběrové sady,1000,1000
2020-03-31,Pardubický kraj,Ostatní,0,0
2020-03-31,Pardubický kraj,Plicní ventilátory,0,0
2020-03-31,Pardubický kraj,Polomasky,0,0
2020-03-31,Pardubický kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Pardubický kraj,Respirátory,18345,18345
2020-03-31,Pardubický kraj,Roušky,80944,80944
2020-03-31,Pardubický kraj,Rukavice,14200,14200
2020-03-31,Pardubický kraj,Rychlotesty,3000,3000
2020-03-31,Pardubický kraj,Tampóny,300,300
2020-03-31,Pardubický kraj,Teploměry,0,0
2020-03-31,Pardubický kraj,Termokamery,0,0
2020-03-31,Pardubický kraj,Štíty,570,570
2020-03-31,Plzeňský kraj,Brýle,904,904
2020-03-31,Plzeňský kraj,Dezinfekce (l),5185,5185
2020-03-31,Plzeňský kraj,Filtry k polomaskám,0,0
2020-03-31,Plzeňský kraj,Návleky na obuv,3200,3200
2020-03-31,Plzeňský kraj,Ochranné oděvy,6529,6529
2020-03-31,Plzeňský kraj,Odběrové sady,3100,3100
2020-03-31,Plzeňský kraj,Ostatní,0,0
2020-03-31,Plzeňský kraj,Plicní ventilátory,0,0
2020-03-31,Plzeňský kraj,Polomasky,0,0
2020-03-31,Plzeňský kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Plzeňský kraj,Respirátory,42055,42055
2020-03-31,Plzeňský kraj,Roušky,257099,257099
2020-03-31,Plzeňský kraj,Rukavice,10300,10300
2020-03-31,Plzeňský kraj,Rychlotesty,3000,3000
2020-03-31,Plzeňský kraj,Tampóny,300,300
2020-03-31,Plzeňský kraj,Teploměry,0,0
2020-03-31,Plzeňský kraj,Termokamery,0,0
2020-03-31,Plzeňský kraj,Štíty,232,232
2020-03-31,Středočeský kraj,Brýle,380,380
2020-03-31,Středočeský kraj,Dezinfekce (l),625,625
2020-03-31,Středočeský kraj,Filtry k polomaskám,0,0
2020-03-31,Středočeský kraj,Návleky na obuv,50,50
2020-03-31,Středočeský kraj,Ochranné oděvy,3137,3137
2020-03-31,Středočeský kraj,Odběrové sady,300,300
2020-03-31,Středočeský kraj,Ostatní,0,0
2020-03-31,Středočeský kraj,Plicní ventilátory,0,0
2020-03-31,Středočeský kraj,Polomasky,0,0
2020-03-31,Středočeský kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Středočeský kraj,Respirátory,13280,13280
2020-03-31,Středočeský kraj,Roušky,34155,34155
2020-03-31,Středočeský kraj,Rukavice,25250,25250
2020-03-31,Středočeský kraj,Rychlotesty,12000,12000
2020-03-31,Středočeský kraj,Tampóny,200,200
2020-03-31,Středočeský kraj,Teploměry,0,0
2020-03-31,Středočeský kraj,Termokamery,0,0
2020-03-31,Středočeský kraj,Štíty,57,57
2020-03-31,Zlínský kraj,Brýle,660,660
2020-03-31,Zlínský kraj,Dezinfekce (l),730,730
2020-03-31,Zlínský kraj,Filtry k polomaskám,0,0
2020-03-31,Zlínský kraj,Návleky na obuv,100,100
2020-03-31,Zlínský kraj,Ochranné oděvy,2429,2429
2020-03-31,Zlínský kraj,Odběrové sady,1500,1500
2020-03-31,Zlínský kraj,Ostatní,0,0
2020-03-31,Zlínský kraj,Plicní ventilátory,0,0
2020-03-31,Zlínský kraj,Polomasky,0,0
2020-03-31,Zlínský kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Zlínský kraj,Respirátory,30680,30680
