Province/State,Country/Region,Lat,Long,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07
M,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,7,10,14,17,32,48,59,74,101,165,215,246,304,427,488,580,647,712,807,950,1078,1267,1377,1454,1548,1684,1826,1952,2085,2187,2249,2353,2432,2558,2684,2757,2835,2863,2890,2926,3006,3061,3105,3140,3179,3242,3306,3363,3386,3423,3451,3479,3489,3522,3547,3587,3613,3621,3632,3646,3671,3707,3736,3754,3760,3773,3797,3822,3848,3898,3933,3958,3973,4052,4095,4147,4165,4198,4249,4304,4329,4356,4379,4408,4439,4457,4463,4474,4501,4540,4569,4584,4601,4631,4676,4706,4732,4762,4782,4815,4830,4849,4869,4897,4961,5018,5041,5069,5107,5158,5231,5282,5393,5558,5783,5941,6019,6054,6112,6175,6234,6272,6292,6338,6385,6433,6494,6530,6556,6590,6636,6705,6777,6843,6892,6942,7049,7179,7323,7452,7581,7639,7693,7792,7928,8092,8233,8346,8405,8463,8585,8709,8845,8972,9130,9221,9283,9361,9519,9664,9845,9974,10049,10106,10191,10331,10478,10600,10841,10954,11011,11151,11337,11527,11701,11964,12129,12264,12380,12651,12986,13322,13710,13953,14155,14418,14992,15554,16199,16901,17638,18028,18510,19308,20269,21692,22640,23565,23986,24623,25661,26676,27908,29359,30325,30977,31611,32565,33998,35620,37429,38685,39563,41020,43203,45716,48269,52265,54570,56039,57998,61700,66108,70469,75549,79538,81938,85576,91042,97761,104167,111141,116931,120256,124954,131985,137869,143811,150065,155281,158296,162602,168212,175475,181460,186688,190253
Z,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,12,16,18,21,31,46,57,67,87,130,161,195,246,325,385,447,495,555,645,789,919,1104,1256,1338,1428,1594,1734,1873,2070,2241,2295,2424,2534,2695,2823,2909,3000,3060,3096,3139,3217,3289,3356,3426,3479,3561,3629,3669,3699,3742,3793,3815,3846,3872,3906,3941,3967,3976,3991,4008,4054,4094,4118,4145,4157,4172,4199,4212,4232,4264,4283,4298,4302,4330,4340,4356,4369,4392,4416,4423,4443,4459,4466,4487,4507,4517,4537,4554,4582,4605,4628,4638,4658,4685,4708,4729,4771,4791,4818,4835,4851,4868,4890,4909,4953,5010,5025,5045,5064,5100,5150,5183,5220,5258,5277,5296,5345,5393,5459,5522,5581,5616,5646,5714,5772,5819,5876,5892,5921,5948,6000,6055,6117,6170,6220,6256,6303,6369,6450,6539,6671,6738,6789,6874,7003,7104,7212,7314,7367,7409,7480,7628,7722,7800,7946,8019,8072,8126,8241,8363,8493,8635,8735,8789,8883,9006,9153,9263,9498,9608,9674,9776,9941,10117,10277,10477,10623,10744,10866,11075,11356,11657,12020,12252,12434,12708,13219,13718,14362,14997,15685,16038,16514,17281,18302,19680,20610,21453,21882,22567,23688,24698,25986,27390,28357,28979,29589,30553,31969,33782,35694,36946,37851,39423,41582,44210,46871,51194,53418,54967,57110,61391,66186,71068,76678,81163,83736,87965,94192,102034,109416,117273,123757,127537,132850,141013,147643,154481,161538,167509,170959,175701,182030,190390,197479,203553,207626
