"Province/State","Country/Region","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20","5/21/20","5/22/20","5/23/20","5/24/20","5/25/20","5/26/20","5/27/20","5/28/20","5/29/20","5/30/20","5/31/20","6/1/20","6/2/20","6/3/20","6/4/20","6/5/20","6/6/20","6/7/20","6/8/20","6/9/20","6/10/20","6/11/20","6/12/20","6/13/20","6/14/20","6/15/20","6/16/20","6/17/20","6/18/20","6/19/20","6/20/20","6/21/20","6/22/20","6/23/20","6/24/20","6/25/20","6/26/20","6/27/20","6/28/20","6/29/20","6/30/20","7/1/20","7/2/20","7/3/20","7/4/20","7/5/20","7/6/20","7/7/20","7/8/20","7/9/20","7/10/20","7/11/20","7/12/20","7/13/20","7/14/20","7/15/20","7/16/20","7/17/20","7/18/20","7/19/20","7/20/20","7/21/20","7/22/20","7/23/20","7/24/20","7/25/20","7/26/20","7/27/20","7/28/20","7/29/20","7/30/20","7/31/20","8/1/20","8/2/20","8/3/20","8/4/20","8/5/20","8/6/20","8/7/20","8/8/20","8/9/20","8/10/20","8/11/20","8/12/20","8/13/20","8/14/20","8/15/20","8/16/20","8/17/20","8/18/20","8/19/20","8/20/20","8/21/20","8/22/20","8/23/20","8/24/20","8/25/20","8/26/20","8/27/20","8/28/20","8/29/20","8/30/20","8/31/20","9/1/20","9/2/20","9/3/20","9/4/20","9/5/20","9/6/20","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","9/15/20","9/16/20","9/17/20","9/18/20","9/19/20","9/20/20","9/21/20","9/22/20","9/23/20","9/24/20","9/25/20","9/26/20","9/27/20","9/28/20","9/29/20","9/30/20","10/1/20","10/2/20"
" Czechia"," 0–14","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","4","5","7","9","13","19","27","31","33","41","48","58","68","76","85","96","109","118","130","142","153","159","173","188","203","220","240","249","256","271","291","302","313","326","332","336","342","352","361","368","372","378","391","399","412","416","424","435","440","442","448","452","459","461","463","463","464","466","470","477","480","483","483","486","490","495","501","507","510","511","517","518","522","524","529","539","542","543","546","552","558","564","568","568","569","575","583","585","586","592","597","600","601","604","608","613","620","626","629","632","633","640","650","652","660","662","671","687","693","697","705","706","713","725","733","746","760","775","784","792","802","812","823","833","839","847","856","862","871","885","896","907","910","921","933","957","974","995","1012","1018","1036","1071","1091","1101","1119","1127","1137","1148","1164","1176","1183","1205","1212","1221","1224","1237","1247","1270","1289","1297","1309","1329","1350","1379","1396","1428","1449","1457","1481","1502","1525","1547","1581","1599","1614","1633","1661","1697","1745","1803","1830","1862","1908","1994","2077","2187","2300","2451","2524","2632","2796","3014","3304","3516","3800","3901","4101","4399","4588","4842","5124","5354","5574","5743","5947","6207","6428","6450"
" Czechia"," 15–24","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","3","4","4","4","5","5","9","10","13","15","24","33","41","52","75","91","107","119","131","148","174","199","231","257","271","305","334","361","398","424","461","473","510","525","548","565","582","596","600","608","614","634","639","648","661","673","682","693","705","709","714","720","724","729","739","742","747","754","756","757","761","767","774","779","783","783","792","797","802","804","811","819","822","824","834","837","842","845","851","859","861","863","864","866","869","873","874","875","877","884","892","896","898","899","906","911","920","924","927","929","931","931","934","937","940","949","956","961","964","967","976","981","988","996","1005","1014","1019","1032","1041","1058","1076","1102","1110","1116","1127","1138","1144","1159","1166","1174","1181","1191","1209","1233","1254","1284","1315","1338","1386","1441","1487","1555","1585","1614","1660","1708","1772","1843","1905","1925","1938","1969","2017","2066","2108","2174","2206","2224","2258","2326","2384","2425","2468","2494","2510","2532","2567","2617","2675","2753","2787","2808","2847","2900","2963","3004","3073","3118","3170","3213","3272","3381","3481","3599","3669","3736","3825","4015","4199","4467","4755","5050","5220","5427","5761","6189","6796","7251","7606","7774","8032","8398","8811","9244","9723","10061","10293","10517","10784","11158","11456","11517"
" Czechia"," 25–34","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","3","8","12","17","20","33","57","73","83","98","146","175","195","211","229","254","296","345","402","451","479","498","537","577","617","676","713","725","757","780","815","843","864","886","896","903","916","939","947","959","972","980","995","1011","1024","1031","1039","1044","1046","1049","1053","1063","1067","1069","1071","1076","1086","1099","1111","1118","1128","1130","1135","1137","1140","1148","1158","1173","1178","1183","1195","1206","1217","1224","1237","1247","1254","1259","1273","1280","1288","1306","1312","1320","1327","1339","1354","1362","1364","1368","1374","1379","1384","1393","1399","1409","1419","1423","1427","1432","1439","1453","1472","1477","1488","1501","1516","1541","1553","1582","1616","1665","1684","1698","1711","1724","1742","1754","1767","1771","1786","1802","1823","1851","1858","1865","1871","1890","1911","1931","1944","1959","1975","1997","2026","2060","2093","2138","2159","2176","2199","2247","2305","2358","2398","2423","2450","2495","2558","2618","2679","2752","2794","2814","2860","2933","2987","3070","3126","3166","3191","3228","3290","3354","3419","3517","3567","3589","3661","3737","3824","3899","4021","4083","4158","4199","4324","4461","4607","4774","4867","4964","5062","5309","5506","5756","6022","6273","6408","6581","6812","7113","7568","7837","8113","8245","8399","8706","8973","9311","9741","10028","10203","10338","10589","11020","11381","11446"
" Czechia"," 35–44","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","5","8","9","10","16","17","20","26","37","52","69","83","104","152","176","216","234","255","295","351","395","461","504","530","553","609","648","686","757","802","818","850","876","920","955","982","1005","1022","1026","1035","1051","1069","1088","1104","1119","1135","1153","1165","1171","1181","1189","1191","1195","1199","1212","1228","1236","1237","1247","1250","1266","1280","1291","1295","1297","1303","1312","1322","1334","1349","1358","1372","1377","1396","1407","1419","1424","1437","1448","1462","1468","1473","1478","1486","1494","1498","1502","1505","1515","1525","1533","1537","1544","1552","1567","1580","1595","1609","1621","1634","1638","1642","1655","1667","1691","1710","1713","1722","1735","1756","1778","1798","1833","1870","1939","1987","2016","2038","2055","2080","2104","2117","2124","2154","2181","2196","2220","2229","2234","2247","2264","2288","2310","2339","2349","2361","2391","2425","2449","2480","2502","2523","2540","2569","2612","2657","2691","2715","2733","2750","2787","2835","2867","2898","2948","2974","2988","3007","3051","3093","3148","3191","3223","3243","3279","3321","3365","3393","3475","3516","3538","3570","3638","3709","3784","3856","3918","3963","4008","4101","4201","4322","4452","4543","4624","4719","4912","5089","5297","5504","5743","5864","6011","6291","6629","7102","7415","7690","7818","8052","8439","8761","9165","9661","9998","10201","10391","10712","11227","11692","11770"
" Czechia"," 45–54","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","5","8","9","11","18","22","24","29","47","61","74","92","130","153","187","216","243","283","336","383","456","507","529","567","627","679","735","803","851","870","909","947","1009","1049","1078","1110","1125","1137","1151","1179","1203","1217","1241","1251","1268","1290","1306","1319","1337","1353","1361","1370","1380","1388","1403","1411","1416","1420","1426","1440","1449","1462","1474","1479","1480","1489","1497","1506","1525","1533","1540","1543","1580","1598","1621","1629","1639","1656","1685","1701","1714","1719","1732","1740","1745","1748","1756","1764","1774","1785","1795","1802","1819","1842","1851","1874","1891","1896","1905","1912","1921","1927","1940","1965","1983","1996","2002","2017","2034","2065","2091","2138","2220","2310","2379","2416","2432","2470","2498","2523","2537","2552","2576","2595","2622","2638","2650","2667","2679","2699","2726","2757","2780","2803","2814","2849","2890","2930","2970","3009","3022","3031","3067","3112","3154","3192","3228","3248","3259","3288","3323","3355","3386","3416","3448","3472","3487","3524","3574","3624","3671","3696","3710","3740","3791","3842","3871","3941","3969","3982","4013","4070","4120","4170","4233","4281","4313","4349","4426","4539","4633","4748","4836","4880","4984","5153","5350","5559","5768","5963","6065","6217","6471","6793","7242","7492","7768","7893","8117","8460","8770","9183","9704","10061","10247","10468","10825","11337","11880","11984"
" Czechia"," 55–64","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","3","11","18","24","29","33","46","56","66","83","105","114","135","151","170","200","240","286","326","357","375","395","432","473","502","541","574","587","616","644","682","720","740","769","783","792","809","834","863","881","895","913","932","945","956","966","976","987","994","1000","1006","1013","1025","1031","1035","1036","1037","1049","1062","1068","1073","1073","1076","1088","1092","1096","1111","1115","1118","1120","1130","1134","1142","1146","1151","1162","1169","1179","1184","1186","1191","1193","1194","1195","1197","1202","1206","1211","1214","1220","1224","1229","1237","1243","1245","1252","1257","1262","1265","1270","1277","1287","1300","1307","1312","1315","1323","1334","1342","1362","1388","1410","1435","1448","1455","1473","1486","1495","1500","1505","1521","1532","1541","1552","1557","1562","1567","1579","1595","1605","1618","1623","1628","1646","1659","1677","1700","1716","1722","1730","1741","1766","1788","1808","1822","1832","1836","1851","1869","1890","1909","1938","1947","1960","1972","1991","2017","2051","2075","2095","2107","2124","2152","2174","2188","2237","2258","2271","2292","2327","2359","2391","2436","2471","2497","2520","2573","2631","2701","2790","2838","2867","2915","3018","3127","3256","3378","3496","3563","3643","3791","3983","4238","4412","4549","4638","4756","4945","5141","5372","5682","5871","6000","6110","6315","6648","6978","7048"
" Czechia"," 65+","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","2","3","4","4","7","13","14","16","22","42","53","61","80","96","106","119","135","154","176","233","271","365","415","454","498","565","632","682","732","785","820","877","921","986","1070","1104","1140","1162","1181","1195","1231","1265","1297","1318","1341","1397","1441","1461","1470","1491","1513","1535","1547","1566","1580","1596","1615","1616","1621","1627","1635","1651","1655","1662","1668","1672","1681","1685","1689","1699","1702","1707","1708","1720","1723","1729","1731","1735","1743","1743","1748","1750","1753","1760","1765","1772","1780","1785","1792","1798","1810","1813","1819","1829","1841","1847","1855","1859","1865","1869","1874","1884","1891","1895","1913","1941","1944","1950","1958","1966","1979","1984","1989","1996","2000","2004","2013","2021","2029","2039","2046","2057","2062","2070","2081","2087","2101","2107","2112","2121","2134","2143","2156","2165","2170","2178","2193","2212","2242","2270","2320","2337","2356","2377","2396","2410","2431","2452","2463","2481","2505","2548","2572","2585","2619","2635","2652","2655","2674","2701","2726","2764","2788","2800","2817","2841","2875","2896","2963","2991","3015","3038","3079","3118","3157","3213","3254","3265","3295","3339","3401","3460","3533","3591","3624","3680","3777","3888","3995","4122","4285","4356","4438","4584","4763","5006","5175","5301","5385","5504","5717","5919","6207","6522","6697","6815","6976","7218","7594","7950","8029"
