datum,kraj_nuts_kod,okres_lau_kod,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti
2020-04-04,CZ020C,CZ020,9,0,0
2020-04-04,CZ0201,CZ020,46,1,0
2020-04-04,CZ0202,CZ020,32,2,0
2020-04-04,CZ0203,CZ020,64,3,2
2020-04-04,CZ0204,CZ020,40,1,0
2020-04-04,CZ0205,CZ020,10,1,0
2020-04-04,CZ0206,CZ020,47,7,0
2020-04-04,CZ0207,CZ020,27,1,1
2020-04-04,CZ0208,CZ020,31,3,1
2020-04-04,CZ0209,CZ020,108,2,3
2020-04-04,CZ0311,CZ031,21,0,0
2020-04-04,CZ0312,CZ031,21,0,0
2020-04-04,CZ0313,CZ031,12,1,0
2020-04-04,CZ0314,CZ031,9,1,0
2020-04-04,CZ0315,CZ031,15,0,0
2020-04-04,CZ0316,CZ031,29,1,0
2020-04-04,CZ0317,CZ031,14,1,0
2020-04-04,CZ0321,CZ032,151,4,2
2020-04-04,CZ0322,CZ032,21,1,0
2020-04-04,CZ0323,CZ032,51,13,0
2020-04-04,CZ0324,CZ032,6,1,0
2020-04-04,CZ0325,CZ032,9,2,0
2020-04-04,CZ0326,CZ032,2,1,0
2020-04-04,CZ0327,CZ032,13,0,0
2020-04-04,CZ0411,CZ041,93,4,2
2020-04-04,CZ0412,CZ041,41,7,1
2020-04-04,CZ0413,CZ041,19,2,0
2020-04-04,CZ0421,CZ042,37,13,0
2020-04-04,CZ0422,CZ042,13,1,0
2020-04-04,CZ0423,CZ042,132,4,3
2020-04-04,CZ0424,CZ042,10,0,0
2020-04-04,CZ0425,CZ042,17,1,0
2020-04-04,CZ0426,CZ042,20,1,0
2020-04-04,CZ0427,CZ042,64,4,0
2020-04-04,CZ0511,CZ051,6,1,0
2020-04-04,CZ0512,CZ051,55,2,0
2020-04-04,CZ0513,CZ051,58,0,0
2020-04-04,CZ0514,CZ051,29,1,0
2020-04-04,CZ0521,CZ052,45,6,0
2020-04-04,CZ0522,CZ052,16,0,0
2020-04-04,CZ0523,CZ052,54,1,0
2020-04-04,CZ0524,CZ052,10,0,0
2020-04-04,CZ0525,CZ052,13,0,1
2020-04-04,CZ0531,CZ053,56,0,0
2020-04-04,CZ0532,CZ053,81,0,2
2020-04-04,CZ0533,CZ053,16,1,0
2020-04-04,CZ0534,CZ053,21,9,0
2020-04-04,CZ0631,CZ063,60,1,2
2020-04-04,CZ0632,CZ063,11,1,0
2020-04-04,CZ0633,CZ063,0,0,0
2020-04-04,CZ0634,CZ063,22,0,0
2020-04-04,CZ0635,CZ063,35,1,0
2020-04-04,CZ0641,CZ064,8,3,0
2020-04-04,CZ0642,CZ064,108,12,0
2020-04-04,CZ0643,CZ064,40,5,0
2020-04-04,CZ0644,CZ064,52,5,3
2020-04-04,CZ0645,CZ064,8,3,0
2020-04-04,CZ0646,CZ064,13,0,0
2020-04-04,CZ0647,CZ064,44,2,0
2020-04-04,CZ0711,CZ071,2,0,0
2020-04-04,CZ0712,CZ071,343,11,4
2020-04-04,CZ0713,CZ071,34,0,0
2020-04-04,CZ0714,CZ071,12,1,0
2020-04-04,CZ0715,CZ071,27,2,0
2020-04-04,CZ0721,CZ072,20,1,0
2020-04-04,CZ0722,CZ072,106,19,0
2020-04-04,CZ0723,CZ072,26,8,0
2020-04-04,CZ0724,CZ072,43,1,0
2020-04-04,CZ0801,CZ080,20,0,1
2020-04-04,CZ0802,CZ080,115,5,2
2020-04-04,CZ0803,CZ080,81,1,0
2020-04-04,CZ0804,CZ080,41,0,0
2020-04-04,CZ0805,CZ080,44,1,2
2020-04-04,CZ0806,CZ080,139,7,0
2020-04-05,CZ0100,CZ010,1203,115,37
2020-04-05,CZ020A,CZ020,87,10,0
2020-04-05,CZ020B,CZ020,36,2,0
2020-04-05,CZ020C,CZ020,9,0,0
2020-04-05,CZ0201,CZ020,50,1,0
2020-04-05,CZ0202,CZ020,32,2,0
2020-04-05,CZ0203,CZ020,65,3,2
2020-04-05,CZ0204,CZ020,41,2,0
2020-04-05,CZ0205,CZ020,12,1,0
2020-04-05,CZ0206,CZ020,49,8,0
2020-04-05,CZ0207,CZ020,29,1,1
2020-04-05,CZ0208,CZ020,31,3,1
2020-04-05,CZ0209,CZ020,109,4,3
2020-04-05,CZ0311,CZ031,21,1,0
2020-04-05,CZ0312,CZ031,21,0,0
2020-04-05,CZ0313,CZ031,12,1,0
2020-04-05,CZ0314,CZ031,9,1,0
2020-04-05,CZ0315,CZ031,15,0,0
2020-04-05,CZ0316,CZ031,29,1,0
2020-04-05,CZ0317,CZ031,14,1,0
2020-04-05,CZ0321,CZ032,155,4,2
2020-04-05,CZ0322,CZ032,28,1,0
2020-04-05,CZ0323,CZ032,51,13,0
2020-04-05,CZ0324,CZ032,6,1,0
2020-04-05,CZ0325,CZ032,9,2,0
2020-04-05,CZ0326,CZ032,2,1,0
2020-04-05,CZ0327,CZ032,13,0,0
2020-04-05,CZ0411,CZ041,95,9,2
2020-04-05,CZ0412,CZ041,42,7,3
2020-04-05,CZ0413,CZ041,19,2,0
2020-04-05,CZ0421,CZ042,37,13,0
2020-04-05,CZ0422,CZ042,13,3,0
2020-04-05,CZ0423,CZ042,138,5,3
2020-04-05,CZ0424,CZ042,10,1,0
2020-04-05,CZ0425,CZ042,17,1,0
2020-04-05,CZ0426,CZ042,24,1,0
2020-04-05,CZ0427,CZ042,68,4,0
2020-04-05,CZ0511,CZ051,6,1,0
2020-04-05,CZ0512,CZ051,58,2,0
2020-04-05,CZ0513,CZ051,61,0,0
2020-04-05,CZ0514,CZ051,30,1,0
2020-04-05,CZ0521,CZ052,45,6,0
2020-04-05,CZ0522,CZ052,16,0,0
2020-04-05,CZ0523,CZ052,56,2,0
2020-04-05,CZ0524,CZ052,11,0,0
2020-04-05,CZ0525,CZ052,13,0,1
2020-04-05,CZ0531,CZ053,58,0,0
2020-04-05,CZ0532,CZ053,81,1,2
2020-04-05,CZ0533,CZ053,16,1,0
2020-04-05,CZ0534,CZ053,21,9,0
2020-04-05,CZ0631,CZ063,60,3,2
2020-04-05,CZ0632,CZ063,11,1,0
2020-04-05,CZ0633,CZ063,0,0,0
2020-04-05,CZ0634,CZ063,22,0,0
2020-04-05,CZ0635,CZ063,35,1,0
2020-04-05,CZ0641,CZ064,9,3,0
2020-04-05,CZ0642,CZ064,110,16,0
2020-04-05,CZ0643,CZ064,40,5,0
2020-04-05,CZ0644,CZ064,56,5,4
2020-04-05,CZ0645,CZ064,8,3,0
2020-04-05,CZ0646,CZ064,14,0,0
2020-04-05,CZ0647,CZ064,45,2,0
2020-04-05,CZ0711,CZ071,2,0,0
2020-04-05,CZ0712,CZ071,345,11,6
2020-04-05,CZ0713,CZ071,34,1,0
2020-04-05,CZ0714,CZ071,12,1,0
2020-04-05,CZ0715,CZ071,29,2,0
2020-04-05,CZ0721,CZ072,20,2,0
2020-04-05,CZ0722,CZ072,107,22,0
2020-04-05,CZ0723,CZ072,27,8,0
2020-04-05,CZ0724,CZ072,43,1,0
2020-04-05,CZ0801,CZ080,20,0,1
2020-04-05,CZ0802,CZ080,118,6,2
2020-04-05,CZ0803,CZ080,81,2,0
2020-04-05,CZ0804,CZ080,41,0,0
2020-04-05,CZ0805,CZ080,44,2,2
2020-04-05,CZ0806,CZ080,143,7,0
2020-04-06,CZ0100,CZ010,1239,159,40
2020-04-06,CZ020A,CZ020,90,11,0
2020-04-06,CZ020B,CZ020,38,3,0
2020-04-06,CZ020C,CZ020,9,0,0
2020-04-06,CZ0201,CZ020,54,1,0
2020-04-06,CZ0202,CZ020,37,3,0
2020-04-06,CZ0203,CZ020,70,6,2
2020-04-06,CZ0204,CZ020,41,2,0
2020-04-06,CZ0205,CZ020,12,2,0
2020-04-06,CZ0206,CZ020,51,8,0
2020-04-06,CZ0207,CZ020,33,1,1
2020-04-06,CZ0208,CZ020,36,3,1
2020-04-06,CZ0209,CZ020,113,9,3
2020-04-06,CZ0311,CZ031,21,1,0
2020-04-06,CZ0312,CZ031,21,0,0
2020-04-06,CZ0313,CZ031,12,1,0
2020-04-06,CZ0314,CZ031,9,1,0
2020-04-06,CZ0315,CZ031,16,0,0
2020-04-06,CZ0316,CZ031,31,1,0
2020-04-06,CZ0317,CZ031,14,1,0
2020-04-06,CZ0321,CZ032,160,5,2
2020-04-06,CZ0322,CZ032,30,1,0
2020-04-06,CZ0323,CZ032,58,13,0
2020-04-06,CZ0324,CZ032,6,1,0
2020-04-06,CZ0325,CZ032,9,2,0
2020-04-06,CZ0326,CZ032,2,1,0
2020-04-06,CZ0327,CZ032,19,0,0
2020-04-06,CZ0411,CZ041,104,9,3
2020-04-06,CZ0412,CZ041,45,8,3
2020-04-06,CZ0413,CZ041,20,2,0
2020-04-06,CZ0421,CZ042,37,18,0
2020-04-06,CZ0422,CZ042,16,3,0
2020-04-06,CZ0423,CZ042,151,6,3
2020-04-06,CZ0424,CZ042,11,1,0
2020-04-06,CZ0425,CZ042,18,2,0
2020-04-06,CZ0426,CZ042,29,3,0
2020-04-06,CZ0427,CZ042,69,11,0
2020-04-06,CZ0511,CZ051,6,1,0
2020-04-06,CZ0512,CZ051,59,2,0
2020-04-06,CZ0513,CZ051,62,0,0
2020-04-06,CZ0514,CZ051,30,1,0
2020-04-06,CZ0521,CZ052,47,6,0
2020-04-06,CZ0522,CZ052,16,1,0
2020-04-06,CZ0523,CZ052,56,2,0
2020-04-06,CZ0524,CZ052,11,0,0
2020-04-06,CZ0525,CZ052,17,0,1
2020-04-06,CZ0531,CZ053,59,0,0
2020-04-06,CZ0532,CZ053,82,2,2
2020-04-06,CZ0533,CZ053,16,1,0
2020-04-06,CZ0534,CZ053,21,9,0
2020-04-06,CZ0631,CZ063,64,3,3
2020-04-06,CZ0632,CZ063,11,1,0
2020-04-06,CZ0633,CZ063,0,0,0
2020-04-06,CZ0634,CZ063,22,0,0
2020-04-06,CZ0635,CZ063,35,1,0
2020-04-06,CZ0641,CZ064,9,3,0
2020-04-06,CZ0642,CZ064,114,20,1
2020-04-06,CZ0643,CZ064,40,8,0
2020-04-06,CZ0644,CZ064,60,5,4
2020-04-06,CZ0645,CZ064,8,3,0
2020-04-06,CZ0646,CZ064,14,0,0
2020-04-06,CZ0647,CZ064,45,2,0
2020-04-06,CZ0711,CZ071,3,0,0
2020-04-06,CZ0712,CZ071,365,14,6
2020-04-06,CZ0713,CZ071,34,2,0
2020-04-06,CZ0714,CZ071,14,1,0
2020-04-06,CZ0715,CZ071,34,2,0
2020-04-06,CZ0721,CZ072,21,4,0
2020-04-06,CZ0722,CZ072,107,22,0
2020-04-06,CZ0723,CZ072,30,8,0
2020-04-06,CZ0724,CZ072,45,2,0
2020-04-06,CZ0801,CZ080,20,3,1
2020-04-06,CZ0802,CZ080,125,7,3
2020-04-06,CZ0803,CZ080,88,6,0
2020-04-06,CZ0804,CZ080,43,0,0
2020-04-06,CZ0805,CZ080,51,3,2
2020-04-06,CZ0806,CZ080,167,7,1
2020-04-07,CZ0100,CZ010,1271,198,44
2020-04-07,CZ020A,CZ020,94,13,0
2020-04-07,CZ020B,CZ020,39,5,1
2020-04-07,CZ020C,CZ020,9,1,0
2020-04-07,CZ0201,CZ020,62,5,0
2020-04-07,CZ0202,CZ020,37,5,0
2020-04-07,CZ0203,CZ020,73,7,3
2020-04-07,CZ0204,CZ020,41,3,0
2020-04-07,CZ0205,CZ020,13,2,0
2020-04-07,CZ0206,CZ020,52,9,0
2020-04-07,CZ0207,CZ020,36,1,1
2020-04-07,CZ0208,CZ020,37,3,1
2020-04-07,CZ0209,CZ020,115,11,3
2020-04-07,CZ0311,CZ031,21,1,0
2020-04-07,CZ0312,CZ031,22,0,0
2020-04-07,CZ0313,CZ031,15,1,0
2020-04-07,CZ0314,CZ031,10,1,0
2020-04-07,CZ0315,CZ031,18,0,1
2020-04-07,CZ0316,CZ031,31,2,0
2020-04-07,CZ0317,CZ031,14,1,0
2020-04-07,CZ0321,CZ032,184,9,2
2020-04-07,CZ0322,CZ032,32,2,0
2020-04-07,CZ0323,CZ032,61,13,0
2020-04-07,CZ0324,CZ032,6,1,0
2020-04-07,CZ0325,CZ032,9,2,0
2020-04-07,CZ0326,CZ032,2,1,0
2020-04-07,CZ0327,CZ032,19,0,0
2020-04-07,CZ0411,CZ041,106,10,4
2020-04-07,CZ0412,CZ041,46,8,3
2020-04-07,CZ0413,CZ041,21,2,0
2020-04-07,CZ0421,CZ042,38,19,0
2020-04-07,CZ0422,CZ042,16,3,0
2020-04-07,CZ0423,CZ042,154,7,4
2020-04-07,CZ0424,CZ042,11,2,0
2020-04-07,CZ0425,CZ042,18,2,0
2020-04-07,CZ0426,CZ042,29,3,0
2020-04-07,CZ0427,CZ042,70,19,0
2020-04-07,CZ0511,CZ051,6,1,0
2020-04-07,CZ0512,CZ051,66,5,0
2020-04-07,CZ0513,CZ051,63,2,0
2020-04-07,CZ0514,CZ051,30,1,0
2020-04-07,CZ0521,CZ052,50,6,0
2020-04-07,CZ0522,CZ052,17,2,0
2020-04-07,CZ0523,CZ052,58,2,0
2020-04-07,CZ0524,CZ052,11,0,0
2020-04-07,CZ0525,CZ052,18,0,1
2020-04-07,CZ0531,CZ053,60,0,0
2020-04-07,CZ0532,CZ053,85,3,2
2020-04-07,CZ0533,CZ053,16,2,0
2020-04-07,CZ0534,CZ053,21,10,0
2020-04-07,CZ0631,CZ063,64,3,3
2020-04-07,CZ0632,CZ063,11,1,0
2020-04-07,CZ0633,CZ063,0,0,0
2020-04-07,CZ0634,CZ063,26,1,0
2020-04-07,CZ0635,CZ063,36,1,0
2020-04-07,CZ0641,CZ064,10,4,0
2020-04-07,CZ0642,CZ064,118,25,1
2020-04-07,CZ0643,CZ064,43,9,0
2020-04-07,CZ0644,CZ064,66,5,4
2020-04-07,CZ0645,CZ064,9,5,0
2020-04-07,CZ0646,CZ064,15,1,0
2020-04-07,CZ0647,CZ064,45,2,0
2020-04-07,CZ0711,CZ071,4,0,0
2020-04-07,CZ0712,CZ071,374,28,7
2020-04-07,CZ0713,CZ071,35,2,0
2020-04-07,CZ0714,CZ071,17,1,0
2020-04-07,CZ0715,CZ071,34,2,0
2020-04-07,CZ0721,CZ072,22,4,0
2020-04-07,CZ0722,CZ072,108,25,0
2020-04-07,CZ0723,CZ072,31,8,0
2020-04-07,CZ0724,CZ072,45,4,0
2020-04-07,CZ0801,CZ080,20,3,1
2020-04-07,CZ0802,CZ080,133,9,3
2020-04-07,CZ0803,CZ080,93,8,0
2020-04-07,CZ0804,CZ080,44,0,0
2020-04-07,CZ0805,CZ080,56,3,2
2020-04-07,CZ0806,CZ080,179,13,1
2020-04-08,CZ0100,CZ010,1326,234,50
2020-04-08,CZ020A,CZ020,102,17,0
2020-04-08,CZ020B,CZ020,39,5,1
2020-04-08,CZ020C,CZ020,9,1,0
2020-04-08,CZ0201,CZ020,66,5,0
2020-04-08,CZ0202,CZ020,40,6,0
2020-04-08,CZ0203,CZ020,79,8,3
2020-04-08,CZ0204,CZ020,41,3,1
2020-04-08,CZ0205,CZ020,17,2,0
2020-04-08,CZ0206,CZ020,54,12,0
2020-04-08,CZ0207,CZ020,36,2,1
2020-04-08,CZ0208,CZ020,40,3,1
2020-04-08,CZ0209,CZ020,120,14,3
2020-04-08,CZ0311,CZ031,24,1,0
2020-04-08,CZ0312,CZ031,22,1,0
2020-04-08,CZ0313,CZ031,15,1,0
2020-04-08,CZ0314,CZ031,10,1,0
2020-04-08,CZ0315,CZ031,20,0,1
2020-04-08,CZ0316,CZ031,32,2,0
2020-04-08,CZ0317,CZ031,14,1,0
2020-04-08,CZ0321,CZ032,216,14,2
